"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.602943614E1,-3.939782381E0,-9.116056442E0,-5.060819983E-1
3.603499114E1,-4.222733974E0,-9.178269386E0,-5.605186820E-1
3.604054614E1,-4.596014023E0,-9.329615593E0,-6.687939167E-1
3.604610114E1,-4.986642361E0,-9.604191780E0,-7.543373108E-1
3.605165614E1,-5.277968407E0,-9.992427826E0,-8.356932998E-1
3.605721114E1,-5.376672268E0,-1.051167011E1,-9.708877802E-1
3.606276614E1,-5.436492920E0,-1.100399303E1,-1.140179992E0
3.606832114E1,-5.512465000E0,-1.137966633E1,-1.356730461E0
3.607387614E1,-5.687739372E0,-1.161057377E1,-1.599003673E0
3.607943114E1,-5.721837044E0,-1.166860008E1,-1.819741607E0
3.608498614E1,-5.800201893E0,-1.148136139E1,-1.965105653E0
3.609054114E1,-5.793023586E0,-1.113021469E1,-2.014756680E0
3.609609614E1,-5.727221012E0,-1.068574810E1,-2.056631088E0
3.610165114E1,-5.523830891E0,-1.011446095E1,-2.062014818E0
3.610720614E1,-5.218147755E0,-9.478569031E0,-2.015953064E0
3.611276114E1,-4.872385025E0,-8.804988861E0,-1.971087694E0
3.611831614E1,-4.493721008E0,-8.166105270E0,-1.909472466E0
3.612387114E1,-4.262813568E0,-7.549355507E0,-1.868196249E0
3.612942614E1,-4.162314892E0,-6.969694138E0,-1.838286042E0
3.613498114E1,-4.144967079E0,-6.399005890E0,-1.840678811E0
3.614053614E1,-4.214957237E0,-5.930012703E0,-1.884347796E0
3.614609114E1,-4.325624943E0,-5.531607628E0,-1.898106575E0
3.615164614E1,-4.353740692E0,-5.127819061E0,-1.895115495E0
3.615720114E1,-4.418346882E0,-4.794618607E0,-1.867598057E0
3.616275614E1,-4.436891556E0,-4.496711731E0,-1.836491346E0
3.616831114E1,-4.389633179E0,-4.273581028E0,-1.738983870E0
3.617386614E1,-4.285545349E0,-4.093521118E0,-1.581655741E0
3.617942114E1,-4.246662140E0,-3.970889091E0,-1.418345571E0
3.618497614E1,-4.289732933E0,-3.842873096E0,-1.331605792E0
3.619053114E1,-4.415356159E0,-3.702294827E0,-1.320239902E0
3.619608614E1,-4.526622295E0,-3.556930780E0,-1.330409408E0
3.620164114E1,-4.603790760E0,-3.430709362E0,-1.366301775E0
3.620719614E1,-4.784449100E0,-3.409772158E0,-1.439880967E0
3.621275114E1,-4.980660439E0,-3.432504177E0,-1.539183140E0
3.621830614E1,-5.099104881E0,-3.458226919E0,-1.701296926E0
3.622386114E1,-5.111667156E0,-3.508476257E0,-1.878963947E0
3.622941614E1,-5.085346222E0,-3.604787350E0,-2.052443504E0
3.623497114E1,-5.045266628E0,-3.689134359E0,-2.266601324E0
3.624052614E1,-5.002195835E0,-3.722035646E0,-2.523829699E0
3.624608114E1,-5.160121918E0,-3.775874138E0,-2.845066071E0
3.625163614E1,-5.112265587E0,-3.820739508E0,-2.926422119E0
3.625719114E1,-5.029115200E0,-3.876372576E0,-2.873181820E0
3.626274614E1,-4.901099205E0,-3.896711588E0,-2.623729944E0
3.626830114E1,-4.674378872E0,-3.988237143E0,-2.345564365E0
3.627385614E1,-4.508676052E0,-4.122833252E0,-2.085943222E0
3.627941114E1,-4.567300320E0,-4.271188259E0,-2.015953064E0
3.628496614E1,-4.514060020E0,-4.496711731E0,-2.019542217E0
3.629052114E1,-4.388436794E0,-4.778466702E0,-2.066800594E0
3.629607614E1,-4.275974274E0,-5.145765305E0,-2.048256159E0
3.630163114E1,-3.963112593E0,-5.586044312E0,-1.944168448E0
3.630718614E1,-3.608974695E0,-6.038288116E0,-1.785045743E0
3.631274114E1,-2.915056229E0,-6.567101955E0,-6.753742099E-1
3.631829614E1,-1.582253933E0,-7.545766354E0,2.957528830E0
3.632385114E1,-1.171884894E0,-8.534600258E0,5.841478348E0
3.632940614E1,-1.947757602E0,-9.448657990E0,7.155735970E0
3.633496114E1,-2.848057270E0,-1.038963604E1,7.600203037E0
3.634051614E1,-3.406183004E0,-1.129472065E1,7.395616531E0
3.634607114E1,-3.443271875E0,-1.215613747E1,6.601797581E0
3.635162614E1,-3.074777126E0,-1.317069435E1,5.394020557E0
3.635718114E1,-2.449652195E0,-1.447538090E1,4.601397991E0
3.636273614E1,-1.618146300E0,-1.589671707E1,4.137190342E0
3.636829114E1,-1.061815023E0,-1.732224083E1,3.936791420E0
3.637384614E1,-9.984052777E-1,-1.878485489E1,3.388236761E0
3.637940114E1,-1.543370605E0,-1.995494461E1,2.068595171E0
3.638495614E1,-2.595016241E0,-2.046102715E1,8.195417374E-2
3.639051114E1,-3.708875179E0,-2.034856415E1,-1.924427629E0
3.639606614E1,-5.066203594E0,-1.951705742E1,-3.385245800E0
3.640162114E1,-6.290730953E0,-1.813041687E1,-3.898506403E0
3.640717614E1,-7.054041386E0,-1.663370705E1,-3.692723513E0
3.641273114E1,-7.811967850E0,-1.566880131E1,-3.066402197E0
3.641828614E1,-8.326424599E0,-1.508734512E1,-2.070987940E0
