"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.569308583E0,-4.086502075E-2,2.982547760E0,1.305031174E1,1.338685540E1
1.579351583E0,1.207987976E-1,3.172502747E0,1.247999771E1,1.287748845E1
1.589394583E0,3.743714905E-1,3.537593536E0,1.149893784E1,1.203662301E1
1.599437583E0,6.999444580E-1,3.908073120E0,1.043390259E1,1.116374852E1
1.609480583E0,1.032103729E0,4.102069702E0,9.576335907E0,1.046892656E1
1.619523583E0,1.162033539E0,4.130660248E0,9.048832855E0,1.001469181E1
1.629566583E0,1.219813385E0,4.025129700E0,8.743916931E0,9.702870559E0
1.639609583E0,1.317709808E0,3.915856934E0,8.512049103E0,9.461779674E0
1.649652583E0,1.439107361E0,3.913312225E0,8.243357849E0,9.237856418E0
1.659695583E0,1.679357758E0,4.022135925E0,7.947872314E0,9.064573581E0
1.669738583E0,1.633403320E0,4.081262970E0,7.857011261E0,9.003184980E0
1.679781583E0,1.573378143E0,4.062402191E0,7.936495972E0,9.053540669E0
1.689824583E0,1.344653778E0,3.934118958E0,7.611222382E0,8.672721136E0
1.699867583E0,9.286688232E-1,3.597319336E0,7.046746216E0,7.966163720E0
1.709910583E0,6.822811890E-1,3.333567810E0,6.475384369E0,7.314969904E0
1.719953583E0,4.249662781E-1,3.236120453E0,6.258635101E0,7.058582383E0
1.729996583E0,1.227447510E-1,3.155438232E0,6.435118103E0,7.168165854E0
1.740039583E0,-2.348616028E-1,3.003953247E0,6.800807648E0,7.438405726E0
1.750082583E0,-4.360432434E-1,2.889141998E0,7.060816956E0,7.641492739E0
1.760125583E0,-6.391708374E-1,2.951412506E0,7.101981354E0,7.717351507E0
1.770169292E0,-6.506968689E-1,3.161725159E0,6.937473450E0,7.651695907E0
1.780212292E0,-5.093907166E-1,3.477418671E0,6.702013092E0,7.567621753E0
1.790255292E0,-3.429368591E-1,3.764371948E0,6.727310486E0,7.716528250E0
1.800298292E0,-3.504212952E-1,3.937561798E0,7.002288666E0,8.041096602E0
1.810341292E0,-2.890489197E-1,4.057462463E0,7.423063660E0,8.464539268E0
1.820384292E0,-1.362167358E-1,4.152065735E0,7.759563904E0,8.801649666E0
1.830427292E0,1.661544800E-2,4.193978577E0,7.935448151E0,8.975581860E0
1.840470292E0,7.813751221E-2,4.309089203E0,8.008196869E0,9.094260405E0
1.850513292E0,-4.266128540E-2,4.359983368E0,7.909851379E0,9.031999989E0
