"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.249580463E0,-3.223746419E-1,1.478097677E0,5.102101564E-1
1.255135463E0,-4.946335554E-1,1.694948435E0,5.960342288E-1
1.260690463E0,-5.964923501E-1,1.791462302E0,6.780404449E-1
1.266245463E0,-6.232169271E-1,1.760461807E0,7.261446714E-1
1.271800463E0,-5.743491650E-1,1.606833696E0,7.438592315E-1
1.277355463E0,-4.741701782E-1,1.378071427E0,7.452336550E-1
1.282910463E0,-3.495573401E-1,1.146560311E0,7.270609736E-1
1.288465463E0,-2.432699203E-1,9.315420985E-1,6.873558760E-1
1.294020463E0,-1.768402755E-1,7.736380696E-1,6.198572516E-1
1.299575463E0,-1.679829955E-1,7.224795818E-1,5.511369109E-1
1.305130463E0,-2.334963679E-1,8.104416132E-1,5.117372870E-1
1.310685463E0,-3.816268146E-1,1.056154966E0,5.146388412E-1
1.316240463E0,-6.000047326E-1,1.393648028E0,5.416688323E-1
1.321795463E0,-8.469397426E-1,1.717702508E0,5.526640415E-1
1.327350463E0,-1.052947998E0,1.951656938E0,5.462501645E-1
1.332905463E0,-1.157860994E0,2.057486296E0,5.202891231E-1
1.338460463E0,-1.142437100E0,2.049392462E0,4.928010404E-1
1.344015463E0,-1.015533566E0,1.965401053E0,4.862344265E-1
1.349570463E0,-8.136485219E-1,1.847354770E0,5.105155706E-1
1.355125463E0,-5.960342288E-1,1.722436547E0,5.442649126E-1
1.360680463E0,-3.878880143E-1,1.568808436E0,5.732801557E-1
1.366235463E0,-2.119639963E-1,1.422663212E0,5.880932212E-1
1.371790463E0,-9.055810422E-2,1.345696568E0,5.894675851E-1
1.377345463E0,-6.413896382E-2,1.379598498E0,5.841227174E-1
1.382900463E0,-1.282779276E-1,1.498102903E0,5.763344169E-1
1.388455463E0,-2.452551723E-1,1.659824729E0,5.586197972E-1
1.394010463E0,-3.799470067E-1,1.843995214E0,5.256340504E-1
1.399565463E0,-4.943281412E-1,2.037022829E0,4.924955964E-1
1.405120463E0,-5.522059202E-1,2.258455038E0,4.451549351E-1
